product,Link
لپ تاپ ایسوس fx507zc | 16gb ram | 1tb ssd | i7 | 4gb vga ا asus    tuf  gaming  fx507zc,https://torob.com/p/457976d0-c00e-4767-a5d8-2bd98a417ab5/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-fx507zc-16gb-ram-1tb-ssd-i7-4gb-vga/
لپ تاپ ایسر nitro 5 an515 | 16gb ram | 512gb ssd | i7 12700h | vga 3050 4gb ا acer an515 laptop,https://torob.com/p/cb2a16d8-29b8-4079-bcc0-cc7ab49ed797/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D8%B1-nitro-5-an515-16gb-ram-512gb-ssd-i7-12700h-vga-3050-4gb/
لپ تاپ اچ‌ پی victus 15 | 16gb ram | 1tb ssd | i5 12500h | vga 3050 4gb ا hp victus15,https://torob.com/p/01b94b2d-7025-4d2f-8dc8-596493e9524d/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DA%86-%D9%BE%DB%8C-victus-15-16gb-ram-1tb-ssd-i5-12500h-vga-3050-4gb/
لپ تاپ لنوو ideapad 3-qe | 4gb ram | 1tb hdd | 256gb ssd | n4020 ا lenovo  ideapad  3  qe,https://torob.com/p/f3900240-cea3-4aa3-8154-65c972212270/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-ideapad-3-qe-4gb-ram-1tb-hdd-256gb-ssd-n4020/
لپ تاپ ایسوس tuf gaming a15 fa507rc r7(6800)-16-512(ssd)-4(rtx3050) نمایشگر 15 اینچ ا tuf gaming a15 fa507rc r7(6800)/16/512ssd/4 - 15 inch,https://torob.com/p/cb59095c-d110-4eb8-ba73-ab7f84577dbf/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-tuf-gaming-a15-fa507rc-r7-6800-16-512-ssd-4-rtx3050-%D9%86%D9%85%D8%A7%DB%8C%D8%B4%DA%AF%D8%B1-15-%D8%A7%DB%8C%D9%86%DA%86/
لپ تاپ لنوو legion 5 | 16gb ram | 1tb ssd | i7 12700h | vga 3070 8gb ا lenovo legion 5,https://torob.com/p/357627b8-a9db-4d60-bf00-1c100b39731a/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-legion-5-16gb-ram-1tb-ssd-i7-12700h-vga-3070-8gb/
لپ تاپ اچ پی victus 16 | 16gb ram | 512gb ssd | i7 | 6gb vga ا laptop hp victus 16,https://torob.com/p/349a21ac-2850-4e3e-a7d9-3c64bc5fc82f/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DA%86-%D9%BE%DB%8C-victus-16-16gb-ram-512gb-ssd-i7-6gb-vga/
لپ تاپ ایسوس مدل r565ep | 8gb ram | 512gb hdd | i5 | 2gb vga ا vivobook r565ep  laptop,https://torob.com/p/c285ac42-95a0-4cf2-abb5-403746646d33/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-r565ep-8gb-ram-512gb-hdd-i5-2gb-vga/
لپ تاپ  مک بوک ایر  mly13 | 8gb ram | 256gb ssd | m2 ا laptop  macbook air mly13,https://torob.com/p/ee853774-4671-448c-a14e-a50f7de40b60/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D8%A7%DB%8C%D8%B1-mly13-8gb-ram-256gb-ssd-m2/
مک بوک پرو  mkgp3 | 16gb ram | 512gb ssd ا apple  macbook  pro 14 (2021) mkgp3,https://torob.com/p/67025998-d60a-40be-98e6-bf547e11ce35/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D9%BE%D8%B1%D9%88-mkgp3-16gb-ram-512gb-ssd/
