Brand,Weight,CPU Series,CPU Model,Cache,RAM,Memory,Size,Stock_statu,Price
asus,1.8Kg,12500H,Core i5,18مگابایت,16GB,512GB,15.6 اینچ,0,از ۴۰٫۵۰۰٫۰۰۰ تومان
لنوو,1.58کیلوگرم,,Ryzen 3,,4GB,,,0,۱۶٫۵۰۰٫۰۰۰ تومان
ایسوس,1.5 کیلوگرم,Core i7,10510U,8 مگابایت,16 گیگابایت,یک ترابایت,14 اینچ,0,۸۱٫۹۴۰٫۰۰۰ تومان
دل,2.5,خیر,"AMD® Ryzen™ 7 5800H Mobile (20 MB total cache, 8 cores, 16 threads)",24 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۵۳٫۸۹۰٫۰۰۰ تومان
دل,1.93 کیلوگرم,Intel Core i5 2520M,2320,چهار مگابایت,چهار گیگابایت,128 گیگابایت ssd,14 اینچ,1,۵٫۵۰۰٫۰۰۰ تومان
ایسوس,1.8,Corei7,12650H,24MB,16GB,512GB,,0,از ۴۸٫۸۹۰٫۰۰۰ تومان
ایسوس,1.90 کیلوگرم,Ryzen 6000,Ryzen 9-6900HS,,16GB,1TB,15.6 اینچ,0,از ۸۸٫۹۹۹٫۰۰۰ تومان
ایسوس,2.30 کیلوگرم,Ryzen 9,Ryzen 9-5900HX,,16GB,1TB,15.6 اینچ,0,از ۵۸٫۰۰۰٫۰۰۰ تومان
ایسر,2.50 کیلوگرم,12th Gen\Alder Lake,Core i5-12500H,,8GB,512GB,15.6 اینچ,0,از ۳۹٫۹۰۰٫۰۰۰ تومان
lenovo,,,,,,,,1,۲۶٫۰۰۰٫۰۰۰ تومان
ایسوس,2.3,Corei7,11800H,24MB,16GB,512GB,,0,از ۵۲٫۶۸۰٫۰۰۰ تومان
مایکروسافت,1.9 کیلوگرم,i7,8650U,8مگابایت,,1 ترابایت,15اینچ,0,از ۳۸٫۹۰۰٫۰۰۰ تومان
dell,,,,,,,,1,۳۱٫۸۹۰٫۰۰۰ تومان
ایسوس,1.7Kg,4600H,Ryzen 5,8 مگابایت,8GB,1TB,15.6 اینچ,0,از ۲۸٫۶۹۹٫۰۰۰ تومان
dell,1.35 کیلوگرم,,7300U,3MB,,,14 اینچ,0,۱۲٫۹۰۰٫۰۰۰ تومان
ایسر,2.3,Corei9,12900H,24MB,16GB,1TB,,0,از ۷۱٫۳۹۳٫۰۰۰ تومان
ایسوس,2.9,Core i9,,24MB,16GB,1TB,17.3,0,از ۱۰۳٫۸۰۰٫۰۰۰ تومان
ایسوس,1.45 کیلوگرم,Core i7,11370H,12 مگابایت,,1 ترابایت,14.0 اینچ,0,از ۵۲٫۲۰۰٫۰۰۰ تومان
دل,3.25 kg,,Intel® Core™i9 13900HX,36MB L3 Cache,64GB DDR5 4800 MH,2TB SSD NVME,18 اینچ,0,۳۱۰٫۷۰۰٫۰۰۰ تومان
lenovo,,Core i5,,,4 گیگابایت,,14.1 اینچ,1,۶٫۵۸۰٫۰۰۰ تومان
ایسوس,,,,,,,17.3 اینچ,1,۱۹٫۹۰۰٫۰۰۰ تومان
ایسوس,1.8,Corei3,1005G1,4MB,8GB,256GB,,0,از ۱۶٫۴۸۹٫۰۰۰ تومان
apple,"1240, ,","M2, ,",,,,,"13.6 اینچ, ,",0,از ۸۵٫۰۰۰٫۰۰۰ تومان
لنوو,2.25 کیلوگرم,11th Gen\Tiger Lake,Core i5-11300H,,16GB,256GB,15.6 اینچ,0,۴۱٫۸۱۲٫۰۰۰ تومان
لنوو,1.3کیلو گرم,,6300U,,,,12.5اینچ,0,۱۰٫۰۰۰٫۰۰۰ تومان
ایسوس,1.8,Core i3,,6MB,8GB,512GB,15.6,0,از ۱۹٫۴۰۰٫۰۰۰ تومان
ایسوس,2.3,Core i5,,8MB,8GB,1TB,15.6,0,از ۳۳٫۹۷۹٫۰۰۰ تومان
دل,,Core i3,1115G4,,,,"13.3 اینچ, Full HD",1,۱۷٫۶۰۰٫۰۰۰ تومان
دل,1.33 کیلوگرم,11th Gen\Tiger Lake,Core i7-1165G7,,16GB,1TB,13.9 اینچ,0,۵۰٫۰۰۰٫۰۰۰ تومان
دل,1.82Kg,Intel Core i7,6820HQ,,16GB,,,1,از ۱۸٫۲۳۶٫۵۰۰ تومان
ایسوس,2.0,Core i7,,24MB,32GB,2TB,15.6,0,از ۶۷٫۲۷۰٫۰۰۰ تومان
لنوو,تقریبا 1 کیلوگرم,Core i5,5300U,3 مگابايت,,,14 اینچ,1,از ۷٫۲۰۰٫۰۰۰ تومان
ایسر,1.90 کیلوگرم,10th Gen\Ice Lake,Core i5-1035G1,,8GB,256GB,15.6 اینچ,0,از ۲۲٫۶۹۹٫۰۰۰ تومان
اپل,1.4 کیلوگرم,Apple M1,M1,12 مگابایت,8 گیگابایت,512 گیگابایت,13.3 اینچ,0,از ۶۵٫۴۰۰٫۰۰۰ تومان
ایسوس,2,Corei7,11370H,12MB,16GB,1TB,,0,از ۵۵٫۰۰۰٫۰۰۰ تومان
ایسوس,1.8 کیلوگرم,Core i5,1135G7,8 مگابایت,8 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۲۳٫۱۰۰٫۰۰۰ تومان
دل,,,,,,,,0,۸۶۹٫۰۰۰٫۰۰۰ تومان
dell,,,,,,,,0,۲۵۵٫۵۰۰٫۰۰۰ تومان
ایسوس,2.5,Core i7,,24MB,,,16.0,0,از ۸۹٫۹۷۹٫۰۰۰ تومان
dell,2.2 کیلوگرم,Core i5,,,8GB – DDR-4,,,0,۱۰٫۹۰۰٫۰۰۰ تومان
لنوو,2.4,Core i5,,12MB,16GB,512GB,15.6,0,از ۴۵٫۰۰۰٫۰۰۰ تومان
دل,2.34 کیلوگرم,Core I5 9300H,Nvidia GTX 1660 Ti 6G,,,512G,15 اینچ,1,۶۵٫۰۰۰٫۰۰۰ تومان
ایسوس,1.8,Core i7,,12MB,12GB,512GB,15.6,0,از ۳۰٫۰۰۰٫۰۰۰ تومان
msi,,,,,,,,0,۲۶٫۵۰۰٫۰۰۰ تومان
ایسوس,2.3 kg,6800H,Ryzen 7,16 مگابایت,16GB,512GB M2 NVMe PCIe,,0,۹۶٫۸۷۶٫۰۰۰ تومان
ایسوس,1.8 کیلوگرم,Core i5,12500H,18 مگابایت,8 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۳۲٫۴۰۰٫۰۰۰ تومان
hp,1.8Kg,1255U,Core i7,12 مگابایت,32GB,1TB,15.6 اینچ,0,از ۵۵٫۵۹۰٫۰۰۰ تومان
لنوو,1.65 کیلوگرم,Core i3,1115G4,6 مگابایت,12 گیگابایت,,15.6 اینچ,0,از ۱۴٫۹۹۹٫۰۰۰ تومان
دل,1.8 کیلو گرم,,,24MB,8GB,512GB NVMe,,0,۲۹٫۴۰۰٫۰۰۰ تومان
ایسوس,2.6,Ryzen 7,,16MB,16GB,2TB,17.3,0,از ۶۰٫۳۵۰٫۰۰۰ تومان
لنوو,1.7 کیلوگرم,11th Gen\Tiger Lake,Core i5-1135G7,,8GB,1TB,15.6 اینچ,0,از ۲۱٫۳۷۹٫۰۰۰ تومان
لنوو,1.7 کیلو گرم,,Ryzen 5,,8GB,,,0,۱۸٫۲۰۰٫۰۰۰ تومان
لنوو,1200 گرم,Athlon,3050E,,,128 گیگابایت,11.6 اینچ,0,از ۹٫۴۳۸٫۰۰۰ تومان
lenovo,1.5کیلوگرم,,,,,,,1,۴٫۹۹۰٫۰۰۰ تومان
مایکروسافت,1.280,Corei7,1185G7,12MB,16GB,512GB,,0,از ۶۹٫۴۰۰٫۰۰۰ تومان
اپل,1.6 کیلوگرم,core 8,M1 Pro,,,512 گیگابایت,14.2 اینچ,0,از ۹۰٫۵۰۰٫۰۰۰ تومان
,,,,,,,,0,۱۲۳٫۵۰۰٫۰۰۰ تومان
hp,1.3 کیلوگرم,Core i7,1065G7,8 مگابایت,16 گیگابایت,یک ترابایت,13.3 اینچ,0,۶۴٫۳۰۰٫۰۰۰ تومان
ایسوس,1.7,Ryzen 9,,16MB,32GB,1TB,14.0,0,۳۲۷٫۹۷۹٫۰۰۰ تومان
ایسوس,1.8,Core i3,,6MB,4GB,128GB,15.6,0,از ۱۸٫۷۰۰٫۰۰۰ تومان
ایسوس,,,,,,,17.3 اینچ,1,۱۰٫۹۰۰٫۰۰۰ تومان
hp,2.3,Corei7,11800H,24MB,16GB,1TB,,0,از ۴۴٫۵۰۰٫۰۰۰ تومان
hp,2.29 کیلوگرم,Core i7,13700H,24 مگابايت,,1 ترابایت,15.6 اینچ,0,از ۵۴٫۵۹۰٫۰۰۰ تومان
لنوو,2.49,Ryzen 7,,16MB,32GB,2TB,16.0,0,از ۷۲٫۹۷۹٫۰۰۰ تومان
اپل,,,,,,,16.2 اینچ,0,از ۱۸۱٫۳۹۰٫۰۰۰ تومان
ایسوس,2.6,,Core i9 13980HX,,,,16.1,0,از ۱۶۱٫۲۰۰٫۰۰۰ تومان
ایسوس,1.4 کیلوگرم (با باتری) / 1.16 کیلوگرم (بدون باتری),نسل 11,1165G7,12 مگابایت,16 گیگابایت,1 ترابایت,14 اینچ,0,۷۹٫۵۰۰٫۰۰۰ تومان
اپل,2.16کیلوگرم,Apple M2 Max,Apple M2 Max 12 CORE,48MB,,,16.2 اینچ,0,از ۲۱۶٫۹۰۰٫۰۰۰ تومان
مک بوک پرو,1.5 کیلوگرم,core i5,,,8 گیگابایت,256 گیگابایت,15.4 اینچ,0,از ۱۲٫۵۰۰٫۰۰۰ تومان
دل,,,,,,,,1,۱۰٫۰۰۰٫۰۰۰ تومان
لنوو,2,Corei7,1165G7,12MB,12GB,1TB HDD+256GB SSD,,0,از ۲۷٫۵۹۹٫۰۰۰ تومان
دل,2 کیلوگرم,,,,4 گیگابایت,ssd 120 GB m2,13 اینچ,1,۹٫۰۰۰٫۰۰۰ تومان
لنوو,2.4,Ryzen 5,,16MB,16GB,,15.6,0,از ۴۰٫۱۵۵٫۰۰۰ تومان
ایسوس,1800 گرم,Core i7,12700H,,,512 گیگابایت,15.6 اینچ,0,از ۵۶٫۸۷۹٫۰۰۰ تومان
asus,,,,,,,15.6 اینچ,1,۱۲٫۰۰۰٫۰۰۰ تومان
مایکروسافت,1.5 کیلوگرم,Core i7,1065G7,8 مگابایت,16 گیگابایت,256 گیگابایت,13.5 اینچ,0,از ۵۲٫۵۰۰٫۰۰۰ تومان
asus,1.8,Corei7,1065G7,12MB,8GB,512GB,,0,از ۲۵٫۳۰۰٫۰۰۰ تومان
hp,1.5 کیلوگرم,,,,"4 گیگابایت, 8 گیگابایت",,14 اینچ,0,۱۴٫۶۹۰٫۰۰۰ تومان
lenovo,,,,,,,,0,۵٫۹۰۰٫۰۰۰ تومان
لنوو,1.65 کیلوگرم,Core i7,1165G7,12 مگابایت,12 گیگابایت,,15.6 اینچ,0,از ۲۶٫۷۹۴٫۰۰۰ تومان
dell,,,,,,,,0,از ۹۶٫۸۱۱٫۰۰۰ تومان
دل,1.63,,,,,,14.2,0,از ۱۵۷٫۳۰۰٫۰۰۰ تومان
ایسوس,1.88 کیلوگرم,Ryzen 7,5600H,19 مگابایت,8 گیگابایت,512 گیگابایت,16 اینچ,0,از ۲۷٫۲۹۸٫۰۰۰ تومان
ایسر,1.7 کیلوگرم,Core i3,1115G4,6 مگابایت,8 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۱۴٫۳۹۹٫۰۰۰ تومان
لنوو,1.8Kg,1135G7,Core i5,8 مگابایت,8GB,256GB,15.6 اینچ,0,از ۲۰٫۴۹۹٫۰۰۰ تومان
لنوو,2.4,Core i7,,24MB,32GB,2TB,15.6,0,از ۶۵٫۹۷۹٫۰۰۰ تومان
دل,1970 گرم با یک باتری,,,,,,14 اینچ FHD,0,۹۸٫۹۸۹٫۰۰۰ تومان
hp,3.2 کیلوگرم,Core i7,8850H,9 مگابایت,32 گیگابایت,یک و نیم ترابایت,17.3 اینچ,0,از ۲۸٫۰۰۰٫۰۰۰ تومان
hp,2230 g,Core i5,11300H,,"16 گیگابایت, ,, 8 گیگابایت",512 گیگابایت,15.6 اینچ,0,۲۹٫۹۹۰٫۰۰۰ تومان
دل,,,,,,,,0,۲۴۲٫۰۰۰٫۰۰۰ تومان
ایسوس,2.4Kg,12900H,Core i9,24 MB,32GB,1TB,16 اینچ,0,از ۹۶٫۰۰۰٫۰۰۰ تومان
ایسوس,2.6,Core i5,,12MB,16GB,512GB,17.3,0,از ۴۹٫۳۹۲٫۰۰۰ تومان
ایسوس,2.2,Core i5,,18MB,8GB,512GB,15.6,0,از ۴۰٫۹۰۰٫۰۰۰ تومان
ایسوس,2.2Kg,6800H,Ryzen 7,16 مگابایت,16GB,512GB,15.6 اینچ,0,از ۵۶٫۱۹۹٫۰۰۰ تومان
لنوو,2.19 کیلوگرم,9th Gen\Coffee Lake,Core i7-9750H,,8GB,256GB,15.6 اینچ,0,از ۲۶٫۹۰۰٫۰۰۰ تومان
لنوو,1.85,Ryzen 5,3500U,4MB,12GB,1TB HDD+256GB SSD,,0,از ۱۹٫۸۰۰٫۰۰۰ تومان
ایسوس,2.6,Core i5,,12MB,8GB,512GB,17.3,0,از ۴۵٫۹۶۹٫۰۰۰ تومان
microsoft,1.9 کیلوگرم,Core i7,8650U,8 مگابایت,16 گیگابایت,,,0,از ۳۱٫۹۰۰٫۰۰۰ تومان
ایسوس,۱.۸ کیلوگرم,Core i۷,۱۰۶۵G۷,هشت مگابایت,۱۶ گیگابایت,یک ترا بایت,۱۵.۶ اینچ,0,۳۱٫۰۹۰٫۰۰۰ تومان
msi,2.25,Core i9,,24MB,,,15.6,0,از ۷۶٫۹۰۰٫۰۰۰ تومان
دل,2.25 کیلوگرم,12th Gen\Alder Lake,Core i7-12700H,,16GB,1TB,15.6 اینچ,0,از ۶۳٫۵۰۰٫۰۰۰ تومان
,2.2 کیلوگرم,Intel Celeron,N2830,,,500 گیگابایت,15.6 اینچ,1,۴٫۹۵۰٫۰۰۰ تومان
hp,,,,,,,,0,۸٫۵۰۰٫۰۰۰ تومان
ایسوس,1.8,Core i5,,8MB,16GB,512GB,15.6,0,از ۳۲٫۱۹۰٫۰۰۰ تومان
ایسوس,1.7,Core i5,,12MB,16GB,1TB,15.6,0,از ۲۰٫۴۰۰٫۰۰۰ تومان
ایسر,2.15 کیلوگرم,Ryzen 5,Ryzen 5-5500U,,8GB,512GB,15.6 اینچ,0,از ۲۸٫۵۰۰٫۰۰۰ تومان
دل,1.98 KG,Core i7,12650H,,16 گیگابایت,512 گیگابایت,,0,از ۶۳٫۸۶۹٫۰۰۰ تومان
hp,2.2,Core i5,,12MB,8GB,1TB,15.6,0,از ۳۳٫۹۹۰٫۰۰۰ تومان
دل,3.3 kg,,Intel® Core™ i9-13980HX 75W,36 MB Intel® Smart Cache,64 گیگابایت,4tb حافظه از نوع SSD NVMe,17 اینچ,0,۲۹۸٫۳۰۰٫۰۰۰ تومان
دل,1.82 کیلوگرم,Core i7,اینتل Core i7-11370H,12 مگابایت,,,14.4 اینچ,0,از ۱۵۱٫۲۹۵٫۰۰۰ تومان
دل,2100 گرم,Core i7,9750H,,16 گیگابایت,512 گیگابایت,15.6 اینچ,1,۴۳٫۵۰۰٫۰۰۰ تومان
دل,1.22 کیلوگرم,Core i7,1185G7,12 مگابایت,,512 گیگابایت,14.0 اینچ,0,از ۷۷٫۴۹۹٫۰۰۰ تومان
hp,2.7 کیلوگرم,,,24MB,32GB,1TB NVMe,17.3اینچ|165Hz,0,از ۱۶۴٫۵۳۶٫۰۶۰ تومان
hp,,,,,,,,0,۵۰٫۸۰۰٫۰۰۰ تومان
لنوو,2.4,Core i7,,24MB,16GB,1TB,15.6,0,از ۵۸٫۲۸۸٫۰۰۰ تومان
ایسوس,2,Corei5,12450H,12MB,16GB,1TB,,0,از ۴۱٫۷۷۰٫۰۰۰ تومان
ایسر,1.10 کیلوگرم,11th Gen\Tiger Lake,Core i7-1165G7,,12GB,256GB,15.6 اینچ,0,از ۲۷٫۱۴۹٫۰۰۰ تومان
ایسوس,3.1,Core i9,,36MB,64GB,4TB,18.0,0,۳۲۰٫۹۷۹٫۰۰۰ تومان
دل,,,,,,,,0,۴٫۹۰۰٫۰۰۰ تومان
lenovo,1.32 کیلوگرم,Intel Core i5,8350U,,,256 گیگابایت,14 اینچ,1,۱۶٫۴۹۰٫۰۰۰ تومان
لنوو,1.8Kg,1115G4,Core i3,6 مگابایت,4GB,256GB,15.6 اینچ,0,از ۱۸٫۰۹۹٫۰۰۰ تومان
دل,2.4 کیلوگرم,Core i7,11800H,24 مگابایت,32 گیگابایت,1 ترابایت,16 اینچ,0,از ۵۸٫۱۹۰٫۰۰۰ تومان
ایسوس,2.1 کیلوگرم,Ryzen 7,4800H,8 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۳۹٫۳۹۹٫۰۰۰ تومان
دل,2.98 کیلو گرم,Core i5,GeForce RTX 3050,18 مگابایت,8 گیگابایت,256 گیگابایت,17.3 اینچ,0,از ۳۹٫۰۹۴٫۰۰۰ تومان
apple,,,,,,,,1,۵۲٫۵۰۰٫۰۰۰ تومان
ایسوس,1.18,Core i9,,24MB,16GB,1TB,13.4,0,۱۵۲٫۹۷۹٫۰۰۰ تومان
دل,1.7 کیلوگرم,Core i7,,12 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۴۲٫۲۰۰٫۰۰۰ تومان
ایسوس,2Kg,12650H,Core i7,24 مگابایت حافظه کش,16GB,512GB,15.6 اینچ,0,از ۵۴٫۸۰۰٫۰۰۰ تومان
asus,1.3,Celeron,N4020,4MB,4GB,128GB,,0,از ۱۰٫۵۰۰٫۰۰۰ تومان
دل,1.2 کیلوگرم,Core i5,8350U,6 مگابایت,16 گیگابایت,512گیگابایت,رده 12 اینچ,0,۱۵٫۹۰۰٫۰۰۰ تومان
ایسوس,2.9,Core i9,,24MB,16GB,1TB,15.6,0,۱۰۹٫۳۸۰٫۰۰۰ تومان
مایکروسافت,۱.۵۳۴,Corei7,1065G7,8MB,32GB,1TB,,0,از ۸۹٫۹۹۵٫۰۰۰ تومان
,,,,,,,,0,۱۴٫۵۰۰٫۰۰۰ تومان
ایسوس,,,,,,,,0,۳۳٫۴۹۹٫۰۰۰ تومان
دل,2.8 kg,,Core i913900H,24 MB Intel® Smart Cache,"64 گیگابایت
DDR55200MHz",2TB حافظه از نوع SSD NVMe,17.3 اینچ,0,۳۰۴٫۷۰۰٫۰۰۰ تومان
,1.5,,Core i5 12450H,,,,14.1,0,۳۴٫۷۶۰٫۰۰۰ تومان
hp,2.4,,Core i7 13700HX,,,,17.3,0,از ۸۷٫۹۹۰٫۰۰۰ تومان
ایسوس,,Core i7,,12 مگابایت,16 گیگابایت,1 ترابایت,13.3 اینچ,0,از ۷۳٫۶۱۳٫۰۰۰ تومان
دل,1.80 کیلوگرم,12th Gen\Alder Lake,Core i5-1235U,,8GB,256GB,15.6 اینچ,0,از ۲۷٫۸۰۰٫۰۰۰ تومان
hp,,,,,,,,0,۲۱٫۸۹۹٫۰۰۰ تومان
لنوو,2Kg,11300H,Core i5,8 مگابایت,8GB,256GB,15.6 اینچ,0,از ۳۴٫۹۷۹٫۰۰۰ تومان
hp,,,,,,,,0,۳۵٫۰۰۰٫۰۰۰ تومان
hp,,,,,,,12 اینچ Full HD Touch Screen,0,۱۳٫۵۰۰٫۰۰۰ تومان
ایسوس,2.9 کیلوگرم,Ryzen 9,6900HX,20 مگابایت,16 گیگابایت,1 ترابایت,17.3 اینچ,0,از ۶۷٫۸۰۰٫۰۰۰ تومان
لنوو,2.4,,Ryzen 7 7840H,,,,15.6,0,۵۷٫۹۱۰٫۰۰۰ تومان
ایسوس,1.8,Corei7,1065G7,12MB,16GB,512GB,,0,از ۲۸٫۹۹۰٫۰۰۰ تومان
acer,2.3kg,12700H,Core i7,24 MB,16GB,1TB,15.6 اینچ,0,از ۵۶٫۵۵۰٫۰۰۰ تومان
ایسوس,2.3,Core i5,,8MB,8GB,1TB,17.3,0,از ۲۴٫۲۵۰٫۰۰۰ تومان
ایسوس,2.9 کیلوگرم,Core i9,GeForce RTX 3080,24 مگابایت,32 گیگابایت,1 ترابایت,17.3 اینچ,0,از ۱۲۱٫۹۷۰٫۰۰۰ تومان
,,,,,,,,1,۲۸٫۶۵۰٫۰۰۰ تومان
hp,1.5Kg,1235U,Core i5,12 مگابایت,8GB,1TB,14 اینچ,0,از ۴۱٫۷۰۰٫۰۰۰ تومان
لنوو,,10750H,Core i7,12 مگابایت,32GB,2TB,15.6 اینچ,0,از ۵۹٫۴۷۹٫۰۰۰ تومان
hp,1.4KG,AMD RYZEN™5,Pro 3500U,4MB,8GB,256GB,14 اینچ,1,۱۵٫۰۰۰٫۰۰۰ تومان
ایسوس,1.9,Ryzen 5,,16MB,16GB,512GB,16.0,0,از ۴۷٫۱۶۹٫۰۰۰ تومان
ام اس آی,2.1 کیلوگرم,Core i7,11800H,24 مگابايت,,512 گیگابایت,15.6 اینچ,0,از ۴۶٫۰۰۰٫۰۰۰ تومان
ایسوس,2.6,Core i7,,24MB,16GB,1TB,17.3,0,از ۵۳٫۷۷۰٫۰۰۰ تومان
ایسر,2.3kg,12700H,Core i7,24 MB,16GB,1TB,15.6 اینچ,0,از ۵۲٫۷۹۰٫۰۰۰ تومان
لنوو,1.66 کیلوگرم,11th Gen\Tiger Lake,Core i5-1135G7,,8GB,128GB,15.6 اینچ,0,از ۲۴٫۰۰۰٫۰۰۰ تومان
dell,,,,,32 گیگابایت ddr4,,15.6 اینچ,1,از ۵۶٫۹۹۰٫۰۰۰ تومان
dell,,Core i7,6820HQ,8MB,,,,1,از ۲۳٫۸۰۰٫۰۰۰ تومان
لنوو,2.4,Core i7,,24MB,16GB,,15.6,0,از ۵۶٫۳۰۰٫۰۰۰ تومان
لنوو,2.4,Core i7,,24MB,32GB,1TB,15.6,0,از ۶۲٫۹۷۹٫۰۰۰ تومان
لنوو,,,,,,,,0,۱۰٫۷۰۰٫۰۰۰ تومان
دل,2.46 کیلوگرم,Core i5,12500H,18 مگابایت,,512 گیگابایت,16.1 اینچ,0,از ۳۴٫۰۰۰٫۰۰۰ تومان
ایسوس,,,,,8 گیگابایت,Ssd 256 GB,15.6 اینچ,1,۱۴٫۵۰۰٫۰۰۰ تومان
لنوو,2.3 کیلوگرم,Core i5,11400H,12 مگابایت,8 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۳۹٫۱۹۹٫۰۰۰ تومان
hp,,,,,,,,0,۳۵٫۴۴۴٫۰۰۰ تومان
دل,,,,,,,15 اینچ,0,۶٫۰۰۰٫۰۰۰ تومان
ایسوس,1.7,Ryzen 9,,16MB,16GB,1TB,14.0,0,از ۲۶۸٫۹۷۹٫۰۰۰ تومان
ایسوس,3.0,Core i9,,36MB,16GB,1TB,18.0,0,۱۳۱٫۱۶۰٫۰۰۰ تومان
لنوو,1.65,Corei3,1115G4,6MB,12GB,1TB HDD+512GB SSD,,0,از ۱۷٫۳۹۱٫۰۰۰ تومان
دل,2.1 کیلوگرم,,7600U,4 مگابایت,6 گیگابایت,256 گیگابایت,,0,از ۱۳٫۲۰۰٫۰۰۰ تومان
ایسوس,1.8,Corei5,1135G7,8MB,16GB,1TB,,0,از ۲۶٫۷۴۰٫۰۰۰ تومان
لنوو,1.75,Celeron,N4020,4MB,4GB,512GB,,0,از ۸٫۵۲۰٫۰۰۰ تومان
اپل,2.04 کیلوگرم,Core i7,Broadwell,6 مگابایت,16 گیگابایت,256 گیگابایت,15.4 اینچ,0,۲۳٫۰۰۰٫۰۰۰ تومان
دل,2.1کیلوگرم,Apple M1 Pro,Apple M1 pro 10CORE,24MB,,,16.2 اینچ,0,۸۷٫۷۲۰٫۰۰۰ تومان
ایسوس,1.8 کیلوگرم,Core i5,Intel Core i5-1135G7,8 مگابایت,,512 گیگابایت,15.6 اینچ,0,از ۲۸٫۲۸۸٫۰۰۰ تومان
ایسوس,2.2,Core i7,,24MB,32GB,1TB,15.6,0,از ۶۱٫۷۷۹٫۰۰۰ تومان
hp,,,,,,,,0,۳۷٫۰۰۰٫۰۰۰ تومان
acer,2.3 کیلوگرم,Core i5,4200U,چهار مگابایت,4GB,500GB,15.6اینچ,1,۸٫۹۵۰٫۰۰۰ تومان
مایکروسافت,1.53 کیلوگرم,Core i5,i5-8250U,,,256 SSD,13.5 اینچ,0,از ۱۸٫۸۰۰٫۰۰۰ تومان
hp,,,,,,,,0,۳۹٫۰۰۰٫۰۰۰ تومان
دل,2.4Kg,12700H,Core i7,24 مگابایت حافظه کش,16GB,1TB,15.6 اینچ,0,از ۷۴٫۰۰۰٫۰۰۰ تومان
ایسوس,2.30 کیلوگرم,11Gen\Tiger Lake,Core i7-11800H,,16GB,512GB,15.6 اینچ,0,از ۵۰٫۸۶۹٫۰۰۰ تومان
دل,1.24 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,512 گیگابایت,13.6 اینچ,0,از ۶۹٫۴۹۹٫۰۰۰ تومان
,,,,,,,,0,۱۷٫۵۰۰٫۰۰۰ تومان
ایسوس,2.6Kg,6800HS,Ryzen 7,16 مگابایت,16GB,1TB,17.3 اینچ,0,از ۷۰٫۰۰۰٫۰۰۰ تومان
اچ‌پی,1.69 کیلوگرم,Ryzen 5,5500U,8 مگابایت,,256 گیگابایت,15.6 اینچ,0,از ۲۳٫۴۴۰٫۰۰۰ تومان
ایسوس,1.65 کیلوگرم,Ryzen,Ryzen 7-5800H,,16GB,1TB,15.6 اینچ,0,از ۳۶٫۴۸۰٫۰۰۰ تومان
ایسوس,2.2,Corei7,12700H,24MB,32GB,2TB,,0,از ۷۷٫۴۷۰٫۰۰۰ تومان
دل,حدود 1.3 کیلوگرم,Core i7,10510U,,,,13.0 اینچ,0,۳۶٫۱۳۰٫۰۰۰ تومان
lenovo,,,,,,,,1,۱۵٫۴۰۰٫۰۰۰ تومان
مایکروسافت,"۱,۵۴۲ کیلوگرم",Core i5,1035G7,6 مگابایت,,128 گیگابایت,,0,از ۱۹٫۰۰۰٫۰۰۰ تومان
دل,,,,,,,,0,۱۳۰٫۰۰۰٫۰۰۰ تومان
لنوو,1.65 کیلوگرم,Core i7,1165G7,12 مگابایت,16 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۳۳٫۰۰۰٫۰۰۰ تومان
لنوو,2.25 کیلوگرم,11th Gen\Tiger Lake,Core i5-11300H,,8GB,256GB,15.6 اینچ,0,از ۳۲٫۹۶۹٫۰۰۰ تومان
مک بوک پرو,2Kg,,M2 Max,12 مگابایت,32GB,"Proprietary Apple NVMe, 1TB",14.2 اینچ,0,از ۱۵۹٫۲۰۰٫۰۰۰ تومان
ایسوس,1.8,Core i3,,6MB,4GB,512GB,15.6,0,از ۲۰٫۹۹۹٫۰۰۰ تومان
hp,,,,,,,,1,۲۶٫۰۰۰٫۰۰۰ تومان
hp,1.77 کیلوگرم,,8650U,,,,,0,از ۲۰٫۰۰۰٫۰۰۰ تومان
,,Core i7,i7-7600U,,8 گیگابایت,,12 اینچ,0,۱۳٫۵۰۰٫۰۰۰ تومان
,2.1 کیلوگرم,,,3MB,,,15.6 اینچ,1,۶٫۹۰۰٫۰۰۰ تومان
مک بوک پرو,,,,,,,,0,۲۶۵٫۰۰۰٫۰۰۰ تومان
ایسوس,2.30 کیلوگرم,11th Gen\Tiger Lake,Core i5-11400H,,8GB,512GB,15.6 اینچ,0,از ۳۹٫۱۰۰٫۰۰۰ تومان
ایسوس,2.3,Ryzen 7,,20MB,32GB,1TB,15.6,0,از ۶۲٫۴۰۰٫۰۰۰ تومان
